FACTORY ID,KEYTYPE ID,COUNT,UPPER_LIMIT,CRITICAL_LOWER_LIMIT,WARNING_LOWER_LIMIT,LAST_LOADED
CENTRAL,2227,20000,0,-1,-1,04-JUN-2020 15:57:37
CENTRAL,2239,2260000,300000,100000,200000,05-JUN-2020 08:51:23
CENTRAL,166,283,0,-1,-1,12-JUN-2020 12:42:43
CENTRAL,1819,8614961,10000000,3000000,7000000,26-JUN-2020 15:45:09
CENTRAL,2259,290000,300000,100000,200000,07-JUL-2020 16:10:26
CENTRAL,817,43828449,50000000,17000000,33000000,07-JUL-2020 16:35:41
CENTRAL,1401,3231048,1000000,300000,700000,24-JUL-2020 09:53:37
CENTRAL,1480,90998,10000,5000,5000,29-JUL-2020 08:59:19
CENTRAL,2123,161640,100000,50000,70000,30-JUL-2020 18:51:57
CENTRAL,2002,9000,3000,1000,2000,04-AUG-2020 21:14:00
CENTRAL,2003,209055,300000,100000,200000,04-AUG-2020 21:21:00
CENTRAL,2303,300000,1000,300,700,17-AUG-2020 14:37:21
CENTRAL,2360,251987,0,-1,-1,24-AUG-2020 17:42:17
CENTRAL,2101,22133315,10000000,3000000,6000000,24-AUG-2020 19:35:24
CENTRAL,1961,10420004,5000000,1500000,3000000,24-AUG-2020 20:08:27
CENTRAL,1783,50000,21000,5000,9000,25-AUG-2020 17:13:23
CENTRAL,1623,12331428,15000000,5000000,10000000,31-AUG-2020 21:20:35
CENTRAL,2379,5675,0,-1,-1,03-SEP-2020 13:33:08
CENTRAL,1781,10958769,3000000,1000000,2000000,03-SEP-2020 14:17:20
CENTRAL,2279,790000,1000000,300000,700000,04-SEP-2020 14:16:42
CENTRAL,2405,9000,0,-1,-1,28-SEP-2020 13:10:27
CENTRAL,2340,26000,30000,10000,20000,30-SEP-2020 11:26:02
CENTRAL,2403,518375,1000000,300000,500000,05-OCT-2020 11:15:18
CENTRAL,2402,2499922,3000000,1000000,2000000,05-OCT-2020 12:33:03
CENTRAL,1038,8364,12000000,-1,-1,20-OCT-2020 00:30:58
CENTRAL,1459,26701975,33000000,11000000,22000000,21-OCT-2020 17:45:51
CENTRAL,2225,670212,0,-1,-1,11-NOV-2020 12:40:47
CENTRAL,2415,2990000,0,-1,-1,24-NOV-2020 19:19:38
CENTRAL,2406,315927,300000,150000,198000,02-DEC-2020 15:28:08
CENTRAL,222,13057449,12000000,4000000,8000000,10-DEC-2020 17:09:17
CENTRAL,2302,9349867,3000000,1000000,2000000,17-DEC-2020 17:12:37
CENTRAL,2122,241088,100000,60000,80000,22-JAN-2021 10:01:40
CENTRAL,2454,1971214,1000000,400000,700000,23-MAR-2021 14:42:03
CENTRAL,2453,999000,0,-1,-1,07-APR-2021 15:59:19
CENTRAL,2413,283992,40000,10000,20000,03-MAY-2021 09:59:53
CENTRAL,2485,290000,0,-1,-1,08-JUN-2021 13:13:24
CENTRAL,1339,11346667,5000000,1000000,3000000,08-JUN-2021 15:48:44
CENTRAL,1660,12646401,6000000,2000000,4000000,10-JUN-2021 12:50:18
CENTRAL,2409,10000,0,-1,-1,22-JUN-2021 10:41:21
CENTRAL,172,6060691,3000000,1000000,2000000,28-JUN-2021 18:50:36
CENTRAL,2482,5000,5000,2000,3000,12-JUL-2021 11:03:49
CENTRAL,2483,990000,1000000,400000,700000,12-JUL-2021 11:12:49
CENTRAL,2484,260000,300000,50000,150000,12-JUL-2021 11:16:36
CENTRAL,1558,27690059,15000000,5000000,10000000,13-JUL-2021 11:01:57
CENTRAL,2059,13626538,12000000,4000000,8000000,06-AUG-2021 13:32:54
CENTRAL,2281,15308353,5000000,1500000,3000000,31-AUG-2021 15:33:22
CENTRAL,2022,7883648,5000000,1500000,2500000,07-SEP-2021 23:21:09
CENTRAL,2361,3696419,5700000,1800000,3500000,07-SEP-2021 23:34:26
CENTRAL,2200,6599974,300000,100000,200000,08-SEP-2021 00:24:16
CENTRAL,2449,11489816,4500000,1500000,3000000,08-SEP-2021 00:32:16
CENTRAL,2499,10000,10000,4000,7000,05-OCT-2021 17:47:28
CENTRAL,2500,5400000,1000000,300000,600000,05-OCT-2021 17:48:28
CENTRAL,2501,700000,300000,100000,200000,14-OCT-2021 12:05:29
CENTRAL,2659,1000000,0,-1,-1,18-OCT-2021 08:35:28
CENTRAL,2700,27000,10000,3000,7000,11-NOV-2021 10:38:30
CENTRAL,2739,60000,100000,30000,50000,16-NOV-2021 16:52:49
CENTRAL,1762,76838714,84000000,28000000,56000000,04-JAN-2022 16:45:34
CENTRAL,2342,1378786,1000000,400000,600000,04-JAN-2022 16:49:59
CENTRAL,1701,15744280,15000000,5000000,10000000,14-JAN-2022 16:58:39
CENTRAL,2742,84571,70000,30000,50000,24-JAN-2022 13:41:46
CENTRAL,2741,260000,10000,5000,7000,25-JAN-2022 15:11:22
CENTRAL,2819,26000,10000,3000,6000,27-JAN-2022 16:57:33
CENTRAL,2879,8000,10000,5000,7000,11-FEB-2022 13:20:20
CENTRAL,2881,450000,600000,300000,420000,23-FEB-2022 16:29:33
CENTRAL,2601,91000,10000,3300,6500,01-MAR-2022 16:20:04
CENTRAL,2905,182976,180000,75000,100000,01-MAR-2022 16:21:04
CENTRAL,2805,970000,1000000,400000,700000,09-MAR-2022 14:27:25
CENTRAL,2802,970000,1000000,400000,700000,09-MAR-2022 14:33:20
CENTRAL,2885,35480,50000,1000,10000,15-MAR-2022 11:01:58
CENTRAL,2681,3900000,3000000,500000,1000000,05-APR-2022 17:47:04
CENTRAL,2982,25000,30000,5000,10000,12-APR-2022 12:18:45
CENTRAL,2639,895000,895000,200000,400000,12-MAY-2022 13:32:21
CENTRAL,2984,739237,300000,150000,210000,16-MAY-2022 11:40:19
CENTRAL,2959,874000,1000000,150000,300000,20-MAY-2022 09:17:37
CENTRAL,1338,3154823,4000000,1000000,3000000,27-JUN-2022 12:10:31
CENTRAL,2740,457683,500000,100000,250000,05-JUL-2022 10:56:18
CENTRAL,68,15253231,15000000,4000000,7000000,05-JUL-2022 16:15:25
CENTRAL,3183,859983,1000000,400000,700000,24-AUG-2022 10:53:22
CENTRAL,3142,115000,100000,50000,70000,26-AUG-2022 09:06:24
CENTRAL,3141,115000,100000,50000,70000,26-AUG-2022 09:07:24
CENTRAL,3239,7762,0,-1,-1,13-SEP-2022 11:53:52
CENTRAL,2821,2319931,1000000,400000,700000,20-SEP-2022 13:52:38
CENTRAL,3199,886000,79000,24000,49000,27-SEP-2022 14:00:33
CENTRAL,2410,227964,54800,16800,33700,18-OCT-2022 15:58:44
