"ProductGroupNm","DesignItemDsc","RevStepCd","SpeedDesignId","YearQuarterTxt","YearMonthTxt","MfgLocationCd","DesignItemMilestone","MfgLocationStage","KF_Qty"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202604","202611","T31","QS","TEST","4800"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202701","202701","T31","QS","TEST","66864"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202701","202701","VAL","POS","TEST","24278"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202701","202702","T31","QS","TEST","217800"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202701","202702","VAL","POS","TEST","12139"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202701","202703","T31","QS","TEST","403500"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202702","202704","T31","QS","TEST","47376"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202702","202705","T31","QS","TEST","6000"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202702","202706","T31","QS","TEST","6000"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT","A0","10062746","202603","202609","VAL","POS","FINISH","26836"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT","A1","10062746","202603","202609","VAL","POS","FINISH","18234"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT","A1","10062746","202604","202611","T90","QS","FINISH","87184"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT","A1","10062746","202604","202612","T90","QS","FINISH","350280"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT","A1","10062746","202701","202701","T90","QS","FINISH","108000"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT","A1","10062746","202701","202703","T90","QS","FINISH","86706"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT-TEST","A0","10062746","202603","202609","VAL","POS","TEST","18782"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT-TEST","A1","10062746","202603","202609","VAL","POS","TEST","22944"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT-TEST","A1","10062746","202604","202611","T90","QS","TEST","136672"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT-TEST","A1","10062746","202604","202612","T90","QS","TEST","371790"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT-TEST","A1","10062746","202701","202701","T90","QS","TEST","42000"
"NOVA LAKE","NOVA LAKE S 8C PRODUCT-TEST","A1","10062746","202701","202703","T90","QS","TEST","97196"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202603","202609","T31","QS","FINISH","73676"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202603","202609","T90","QS","FINISH","30080"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202603","202609","VAL","POS","FINISH","44500"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202604","202610","T31","QS","FINISH","339882"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202604","202610","T90","QS","FINISH","307288"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202604","202610","VAL","POS","FINISH","22802"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202604","202611","T31","QS","FINISH","90308"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202604","202611","T90","QS","FINISH","72164"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202701","202703","T31","QS","FINISH","24392"
"NOVA LAKE","NOVA LAKE U PRODUCT","A0","10044318","202701","202703","T90","QS","FINISH","19136"
"NOVA LAKE","NOVA LAKE U PRODUCT","A1","10044318","202604","202611","T31","QS","FINISH","336000"
"NOVA LAKE","NOVA LAKE U PRODUCT","A1","10044318","202604","202611","T90","QS","FINISH","12000"
"NOVA LAKE","NOVA LAKE U PRODUCT","A1","10044318","202604","202612","T31","QS","FINISH","126000"
"NOVA LAKE","NOVA LAKE U PRODUCT","A1","10044318","202604","202612","T90","QS","FINISH","6000"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202603","202609","T31","QS","TEST","149266"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202603","202609","T90","QS","TEST","118488"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202603","202609","VAL","POS","TEST","56260"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202604","202610","T31","QS","TEST","396980"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202604","202610","T90","QS","TEST","331700"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202604","202610","VAL","POS","TEST","20618"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202604","202611","T31","QS","TEST","27116"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202604","202611","T90","QS","TEST","21230"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202701","202703","T31","QS","TEST","28081"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A0","10044318","202701","202703","T90","QS","TEST","22029"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202603","202609","T31","QS","TEST","1800"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202604","202610","T31","QS","TEST","60000"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202604","202611","T31","QS","TEST","446400"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202604","202611","T90","QS","TEST","12000"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202604","202612","T31","QS","TEST","39000"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202604","202612","T90","QS","TEST","6000"
"NOVA LAKE","NOVA LAKE U PRODUCT-TEST","A1","10044318","202702","202705","T31","QS","TEST","12000"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT","B0","10072548","202604","202611","VAL","POS","FINISH","15868"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT","B0","10072548","202701","202701","T31","QS","FINISH","37876"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT","B0","10072548","202701","202702","T31","QS","FINISH","27000"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT","B0","10072548","202701","202702","VAL","POS","FINISH","7935"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT","B0","10072548","202701","202703","T31","QS","FINISH","153937"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT-TEST","B0","10072548","202604","202611","VAL","POS","TEST","16154"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT-TEST","B0","10072548","202701","202701","T31","QS","TEST","38554"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT-TEST","B0","10072548","202701","202702","T31","QS","TEST","81000"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT-TEST","B0","10072548","202701","202702","VAL","POS","TEST","8074"
"NOVA LAKE","NVL S 16C (DUNLOW) PRODUCT-TEST","B0","10072548","202701","202703","T31","QS","TEST","100277"
"NOVA LAKE","NVL S 52C BLLC (DUNLOW) 125W PRODUCT","B0","10073137","202702","202705","T31","QS","FINISH","210000"
"NOVA LAKE","NVL S 52C BLLC (DUNLOW) 125W PRODUCT","B0","10073137","202702","202706","T31","QS","FINISH","42000"
"NOVA LAKE","NVL S 52C BLLC (DUNLOW) 125W PRODUCT-TEST","B0","10073137","202702","202705","T31","QS","TEST","252000"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202707","VAL","POS","FINISH","29899"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202708","T31","POS","FINISH","21600"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202708","T31","QS","FINISH","9600"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202708","VAL","POS","FINISH","59802"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202709","T31","POS","FINISH","4800"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202709","T31","QS","FINISH","64166"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202703","202709","VAL","POS","FINISH","52324"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202704","202710","T31","QS","FINISH","104328"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202704","202710","VAL","POS","FINISH","14951"
"RAZOR LAKE","NOVA LAKE AM PRODUCT","A0","10061167","202704","202711","T31","QS","FINISH","440324"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202707","T31","POS","TEST","6000"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202707","VAL","POS","TEST","40064"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202708","T31","POS","TEST","18000"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202708","T31","QS","TEST","9600"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202708","VAL","POS","TEST","68455"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202709","T31","POS","TEST","2400"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202709","T31","QS","TEST","79199"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202703","202709","VAL","POS","TEST","56965"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202704","202710","T31","QS","TEST","103931"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202704","202710","VAL","POS","TEST","14190"
"RAZOR LAKE","NOVA LAKE AM PRODUCT-TEST","A0","10061167","202704","202711","T31","QS","TEST","402048"
"RAZOR LAKE","NOVA LAKE AX PRODUCT","A0","10060860","202603","202609","VAL","POS","FINISH","10722"
"RAZOR LAKE","NOVA LAKE AX PRODUCT","A0","10060860","202604","202610","VAL","POS","FINISH","3258"
"RAZOR LAKE","NOVA LAKE AX PRODUCT","A0","10060860","202604","202611","VAL","POS","FINISH","35990"
